Customer,recency,frequency,monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass
Anna Jones,279,3,89.97,4,3,3,433
Anna Lee,369,1,1120.49,4,4,2,442
Anna Lewis,40,2,3263.9482,1,3,1,131
Anna Long,456,1,2071.4196,4,4,2,442
Anna Martin,302,2,4118.26,4,3,1,431
Anna Martinez,112,7,6855.4396,2,1,1,211
Anna Miller,54,3,2366.9599999999996,1,3,2,132
Anna Moore,152,2,71.97,2,3,3,233
Anna Morgan,87,1,21.98,2,4,4,244
Anna Morris,31,1,29.99,1,4,4,144
Anna Murphy,231,4,59.91,3,2,3,323
Anna Patterson,128,1,4.99,2,4,4,244
Anna Perry,361,2,2419.06,4,3,2,432
Anna Powell,97,1,539.99,2,4,2,242
Anna Price,201,3,1476.5382000000002,3,3,2,332
Anna Ramirez,204,2,68.49,3,3,3,333
Anna Reed,431,1,2071.4196,4,4,2,442
Anna Richardson,162,1,4.99,2,4,4,244
Anna Rivera,365,2,34.89,4,3,4,434
Anna Robinson,144,3,4643.83,2,3,1,231
Anna Rodriguez,253,3,81.46000000000001,3,3,3,333
Anna Rogers,166,3,4921.69,2,3,1,231
Anna Ross,67,7,275.44,1,1,3,113
Anna Russell,265,4,2482.2299999999996,4,2,2,422
Anna Sanchez,165,1,29.99,2,4,4,244
Anna Sanders,34,2,78.97999999999999,1,3,3,133
Anna Simmons,222,4,2367.919999999999,3,2,2,322
Anna Stewart,74,4,1768.96,1,2,2,122
Anna Taylor,157,4,600.46,2,2,2,222
Anna Thomas,92,2,39.980000000000004,2,3,4,234
Anna Thompson,73,3,36.269999999999996,1,3,4,134
Anna Torres,39,2,29.479999999999997,1,3,4,134
Anna Ward,70,1,32.6,1,4,4,144
Anna Washington,155,3,63.97,2,3,3,233
Anna Watson,219,2,6021.62,3,3,1,331
Anna White,232,2,39.980000000000004,3,3,4,334
Anna Williams,55,4,4362.74,1,2,1,121
Anna Wood,176,4,89.46000000000001,3,2,3,323
Anne Alonso,120,5,597.95,2,1,2,212
Anne Alvarez,112,3,72.28000000000002,2,3,3,233
Anne Blanco,306,2,78.97999999999999,4,3,3,433
Anne Carlson,23,4,119.96000000000001,1,2,3,123
Anne Dominguez,45,10,8886.529999999999,1,1,1,111
Anne Gill,35,3,1331.97,1,3,2,132
Anne Gomez,195,3,62.27,3,3,3,333
Anne Gutierrez,10,2,13.98,1,3,4,134
Anne Hernandez,260,13,7586.229999999998,3,1,1,311
Anne Jiménez,117,3,36.269999999999996,2,3,4,234
Anne Martin,222,4,2164.9074999999993,3,2,2,322
Anne Moreno,291,3,2469.0499999999997,4,3,2,432
Anne Munoz,232,4,98.96000000000001,3,2,3,323
Anne Navarro,208,2,57.980000000000004,3,3,3,333
Anne Ortega,115,7,6819.108199999999,2,1,1,211
Anne Ramos,153,5,8068.029999999999,2,1,1,211
Anne Romero,52,4,2389.959999999999,1,2,2,122
Anne Rubio,37,4,5935.55,1,2,1,121
Anne Ruiz,140,3,88.97,2,3,3,233
Anne Serrano,249,3,3617.83,3,3,1,331
Anne Sims,216,3,553.97,3,3,2,332
Anne Torres,171,3,37.269999999999996,3,3,4,334
Anne Vazquez,54,3,3826.3995999999997,1,3,1,131
Anthony Anderson,123,5,4703.3099999999995,2,1,1,211
Anthony Brown,231,6,151.42999999999998,3,1,3,313
Anthony Clark,692,1,782.99,4,4,2,442
Anthony Davis,108,2,56.97,2,3,3,233
Anthony Garcia,242,2,1249.84,3,3,2,332
Anthony Harris,202,1,21.98,3,4,4,344
Anthony Johnson,273,1,4.99,4,4,4,444
Anthony Jones,227,2,4476.5525,3,3,1,331
Anthony Lee,317,4,160.23000000000002,4,2,3,423
Anthony Lewis,159,3,128.97,2,3,3,233
Anthony Martinez,102,6,121.93,2,1,3,213
Anthony Miller,115,3,22.93,2,3,4,234
Anthony Moore,256,2,39.980000000000004,3,3,4,334
Anthony Robinson,40,2,27.279999999999998,1,3,4,134
Anthony Rodriguez,208,3,4802.11,3,3,1,331
Anthony Taylor,323,4,578.46,4,2,2,422
Anthony Thompson,239,2,56.97,3,3,3,333
Anthony Walker,153,5,1883.5582000000002,2,1,2,212
Anthony White,135,8,5741.407499999999,2,1,1,211
Anthony Williams,278,3,37.97,4,3,4,434
Anthony Wilson,170,1,9.99,3,4,4,344
Antonio Alexander,119,2,32.28,2,3,4,234
Antonio Barnes,165,2,78.97999999999999,2,3,3,233
Antonio Bennett,34,33,707.5,1,1,2,112
Antonio Bryant,279,5,4813.32,4,1,1,411
Antonio Butler,176,3,5908.25,3,3,1,331
Antonio Diaz,19,2,56.97,1,3,3,133
Antonio Flores,136,4,3630.9282,2,2,1,221
Antonio Foster,26,9,228.52,1,1,3,113
Antonio Gonzales,235,4,608.96,3,2,2,322
Antonio Griffin,5,2,7.28,1,3,4,134
Antonio Hayes,233,3,36.269999999999996,3,3,4,334
Antonio Henderson,262,2,38.980000000000004,3,3,4,334
Antonio Hughes,307,4,712.27,4,2,2,422
Antonio Jenkins,126,3,69.97,2,3,3,233
Antonio Long,418,1,2049.0982,4,4,2,442
Antonio Patterson,158,5,8068.029999999999,2,1,1,211
Antonio Perry,84,3,3292.9381999999996,1,3,1,131
Antonio Powell,101,4,77.27000000000001,2,2,3,223
Antonio Price,304,3,74.98,4,3,3,433
Antonio Ross,39,9,148.89,1,1,3,113
Antonio Russell,138,1,21.98,2,4,4,244
Antonio Simmons,174,3,4468.1582,3,3,1,331
Antonio Washington,218,5,5973.24,3,1,1,311
Antonio Wood,1,3,92.47999999999999,1,3,3,133
April Anand,125,6,138.45,2,1,3,213
April Andersen,144,3,193.98,2,3,3,233
April Beck,140,5,5140.729599999999,2,1,1,211
April Deng,217,8,8184.99,3,1,1,311
April Goel,107,6,108.85000000000001,2,1,3,213
April Jai,34,7,5169.07,1,1,1,111
April Kumar,97,1,21.49,2,4,4,244
April Luo,232,1,564.99,3,4,2,342
April Nara,311,3,583.97,4,3,2,432
April Nath,45,2,2304.9799999999996,1,3,2,132
April Pal,291,4,89.46000000000001,4,2,3,423
April Raje,36,3,32.22,1,3,4,134
April Raji,250,4,71.27,3,2,3,323
April Shan,21,58,1006.83,1,1,2,112
April Sharma,285,3,69.97,4,3,3,433
April She,80,7,4657.737499999999,1,1,1,111
April Shen,720,1,2049.0982,4,4,2,442
April Tang,61,4,1256.0282000000002,1,2,2,122
April Xie,124,3,1775.47,2,3,2,232
Ariana Bailey,153,5,5976.74,2,1,1,211
Ariana Bell,682,1,2443.35,4,4,2,442
Ariana Brooks,65,3,48.970000000000006,1,3,4,134
Ariana Cook,340,4,5935.55,4,2,1,421
Ariana Cooper,144,8,205.42000000000002,2,1,3,213
Ariana Cox,175,2,39.980000000000004,3,3,4,334
Ariana Gray,38,15,10528.6282,1,1,1,111
Ariana Howard,123,2,14.98,2,3,4,234
Ariana James,272,3,37.269999999999996,4,3,4,434
Ariana Kelly,144,2,1735.98,2,3,2,232
Ariana Morgan,93,5,1597.5582000000002,2,1,2,212
Ariana Murphy,145,3,68.97,2,3,3,233
Ariana Peterson,82,4,44.57,1,2,4,124
Ariana Ramirez,140,2,39.980000000000004,2,3,4,234
Ariana Ready,69,1,539.99,1,4,2,142
Ariana Richardson,162,1,69.99,2,4,3,243
Ariana Rivera,273,1,4.99,4,4,4,444
Ariana Rogers,65,1,34.99,1,4,4,144
Ariana Sanchez,279,4,5955.23,4,2,1,421
Ariana Sanders,326,3,182.78,4,3,3,433
Ariana Stewart,305,5,6070.589999999999,4,1,1,411
Ariana Ward,205,2,751.34,3,3,2,332
Ariana Watson,267,3,1799.48,4,3,2,432
Arianna Alexander,76,2,2297.2799999999997,1,3,2,132
Arianna Bailey,110,1,4.99,2,4,4,244
Arianna Barnes,29,4,71.95,1,2,3,123
Arianna Bell,228,3,27.769999999999996,3,3,4,334
Arianna Bennett,11,2,13.98,1,3,4,134
Arianna Brooks,63,2,56.97,1,3,3,133
Arianna Bryant,368,2,1170.48,4,3,2,432
Arianna Butler,40,2,34.98,1,3,4,134
Arianna Coleman,202,4,110.46000000000001,3,2,3,323
Arianna Cook,131,3,49.97,2,3,3,233
Arianna Cooper,81,2,39.980000000000004,1,3,4,134
Arianna Cox,164,4,89.25,2,2,3,223
Arianna Diaz,119,3,1538.5782000000002,2,3,2,232
Arianna Flores,63,4,4132.24,1,2,1,121
Arianna Foster,59,2,7.28,1,3,4,134
Arianna Gonzales,70,3,2351.9599999999996,1,3,2,132
Arianna Gray,96,4,1592.5682000000002,2,2,2,222
Arianna Hayes,235,6,2845.522499999999,3,1,1,311
Arianna Henderson,316,4,5930.23,4,2,1,421
Arianna Howard,90,2,78.97999999999999,2,3,3,233
Arianna Hughes,354,2,1754.98,4,3,2,432
Arianna James,363,2,13.98,4,3,4,434
Arianna Jenkins,136,2,39.980000000000004,2,3,4,234
Arianna Kelly,33,3,36.269999999999996,1,3,4,134
Arianna Morgan,21,7,135.43,1,1,3,113
Arianna Morris,22,6,57.510000000000005,1,1,3,113
Arianna Murphy,328,4,2453.0399999999995,4,2,2,422
Arianna Peterson,359,2,36.59,4,3,4,434
Arianna Powell,326,3,579.97,4,3,2,432
Arianna Price,349,4,2493.5399999999995,4,2,2,422
Arianna Ramirez,265,4,561.9200000000001,4,2,2,422
Arianna Reed,353,4,4380.099999999999,4,2,1,421
Arianna Richardson,12,8,104.19,1,1,3,113
Arianna Rivera,238,3,71.58000000000001,3,3,3,333
Arianna Ross,317,3,1331.97,4,3,2,432
Arianna Russell,338,3,149.93,4,3,3,433
Arianna Sanchez,194,3,1164.47,3,3,2,332
Arianna Sanders,197,1,4.99,3,4,4,344
Arianna Simmons,944,1,3578.27,4,4,1,441
Arianna Stewart,214,4,1764.96,3,2,2,322
Arianna Torres,3,1,29.99,1,4,4,144
Arianna Ward,38,5,5973.24,1,1,1,111
Arianna Washington,201,2,7.28,3,3,4,334
Arianna Watson,16,2,78.97999999999999,1,3,3,133
Arianna Wood,312,4,1184.46,4,2,2,422
Arif Rizaldy,38,2,2419.06,1,3,2,132
Armando Alonso,38,5,6793.1482,1,1,1,111
Armando Alvarez,236,3,4179.33,3,3,1,331
Armando Blanco,43,5,2397.949999999999,1,1,2,112
Armando Carlson,282,3,126.96000000000001,4,3,3,433
Armando Diaz,50,5,3018.0124999999994,1,1,1,111
Armando Dominguez,347,3,1869.5782000000002,4,3,2,432
Armando Gill,194,2,39.980000000000004,3,3,4,334
Armando Gomez,191,1,35.0,3,4,4,344
Armando Gutierrez,256,2,2419.06,3,3,2,332
Armando Hernandez,63,4,4900.679999999999,1,2,1,121
Armando Martin,217,3,2418.0499999999997,3,3,2,332
Armando Moreno,223,3,5908.25,3,3,1,331
Armando Muñoz,172,2,13.98,3,3,4,334
Armando Navarro,40,4,3034.0681999999993,1,2,1,121
Armando Ortega,307,4,102.96,4,2,3,423
Armando Ramos,180,2,54.980000000000004,3,3,3,333
Armando Romero,18,4,77.96,1,2,3,123
Armando Rubio,318,3,60.47,4,3,3,433
Armando Ruiz,158,4,39.22,2,2,4,224
Armando Schmidt,290,3,71.58000000000001,4,3,3,433
Armando Suarez,176,3,42.97,3,3,4,334
Armando Torres,229,3,69.97,3,3,3,333
Armando Vazquez,237,5,2835.022499999999,3,1,1,311
Arthur Alonso,50,1,21.98,1,4,4,144
Arthur Alvarez,40,2,7.28,1,3,4,134
Arthur Blanco,37,3,60.47,1,3,3,133
Arthur Carlson,188,9,8221.99,3,1,1,311
Arthur Chandra,41,8,6859.4295999999995,1,1,1,111
Arthur Diaz,326,2,29.479999999999997,4,3,4,434
Arthur Dominguez,247,1,24.99,3,4,4,344
Arthur Fernandez,269,3,2785.0525,4,3,1,431
Arthur Garcia,45,1,53.99,1,4,3,143
Arthur Gill,176,4,96.92,3,2,3,323
Arthur Gomez,260,4,2179.9074999999993,3,2,2,322
Arthur Gonzalez,249,3,2398.0499999999997,3,3,2,332
Arthur Gutierrez,278,3,61.08,4,3,3,433
Arthur Hernandez,291,5,67.19999999999999,4,1,3,413
Arthur Jiménez,393,4,2546.9599999999996,4,2,1,421
Arthur Kapoor,134,3,23.97,2,3,4,234
Arthur Madan,315,5,4692.8825,4,1,1,411
Arthur Malhotra,311,2,25.479999999999997,4,3,4,434
Arthur Martin,211,3,49.97,3,3,3,333
Arthur Mehta,227,4,6035.599999999999,3,2,1,321
Arthur Moreno,219,2,53.980000000000004,3,3,3,333
Arthur Munoz,42,3,1744.97,1,3,2,132
Arthur Navarro,202,4,114.96,3,2,3,323
Arthur Patel,115,1,69.99,2,4,3,243
Arthur Perez,231,4,4758.24,3,2,1,321
Arthur Perry,113,2,119.97999999999999,2,3,3,233
Arthur Prasad,124,6,5158.368199999999,2,1,1,211
Arthur Raman,172,2,2983.34,3,3,1,331
Arthur Rana,16,1,3.99,1,4,4,144
Arthur Rodriguez,101,5,3788.6795999999995,2,1,1,211
Arthur Romero,125,4,4441.0581999999995,2,2,1,221
Arthur Rubio,186,1,21.98,3,4,4,344
Arthur Ruiz,284,2,1735.98,4,3,2,432
Arthur Sai,109,3,1957.47,2,3,2,232
Arthur Sanchez,87,1,3.99,2,4,4,244
Arthur Sanz,365,3,166.28,4,3,3,433
Arthur Sara,279,5,1193.45,4,1,2,412
Arthur Smith,385,6,6098.579999999999,4,1,1,411
Arthur Subram,302,1,69.99,4,4,3,443
Arthur Suri,105,4,1932.46,2,2,2,222
Arthur Torres,304,3,42.93,4,3,4,434
Arthur Van,3,11,333.3,1,1,2,112
Arthur Vazquez,260,1,742.35,3,4,2,342
Arthur Washington,86,5,4698.8099999999995,2,1,1,211
Arthur Wilson,72,4,1764.96,1,2,2,122
Arturo Anand,174,3,565.47,3,3,2,332
Arturo Andersen,4,4,98.96000000000001,1,2,3,123
Arturo Cai,94,1,2319.99,2,4,2,242
Arturo Carson,35,2,27.279999999999998,1,3,4,134
Arturo Chande,218,4,67.26,3,2,3,323
Arturo Chen,282,2,13.98,4,3,4,434
Arturo Deng,32,3,1299.83,1,3,2,132
Arturo Gao,337,4,2433.0399999999995,4,2,2,422
Arturo Goel,165,3,74.98,2,3,3,233
Arturo Guo,341,3,126.28,4,3,3,433
Arturo He,46,4,2422.5399999999995,1,2,2,122
Arturo Hu,73,5,104.95,1,1,3,113
Arturo Huang,308,4,2473.0399999999995,4,2,2,422
Arturo Jai,133,2,38.980000000000004,2,3,4,234
Arturo Kumar,191,2,1174.48,3,3,2,332
Arturo Lal,153,4,44.57,2,2,4,224
Arturo Li,224,3,89.97,3,3,3,333
Arturo Liang,56,2,123.99,1,3,3,133
Arturo Lin,255,2,56.97,3,3,3,333
Arturo Liu,83,9,150.41,1,1,3,113
Arturo Lu,266,2,13.98,4,3,4,434
Arturo Luo,106,2,1754.98,2,3,2,232
Arturo Ma,205,2,14.98,3,3,4,334
Arturo Nara,337,3,36.269999999999996,4,3,4,434
Arturo Pal,250,2,2419.06,3,3,2,332
Arturo Rai,152,2,1735.98,2,3,2,232
Arturo Raje,20,2,74.98,1,3,3,133
Arturo Raji,175,3,2756.5424999999996,3,3,1,331
Arturo Shan,282,4,2492.3199999999993,4,2,2,422
Arturo Sharma,37,5,6765.4382000000005,1,1,1,111
Arturo Shen,288,4,4638.8925,4,2,1,421
Arturo Sun,19,30,561.53,1,1,2,112
Arturo Tang,350,3,149.98,4,3,3,433
Arturo Wang,332,2,39.980000000000004,4,3,4,434
Arturo Wu,216,3,599.47,3,3,2,332
Arturo Xie,130,3,4464.479600000001,2,3,1,231
Arturo Xu,67,11,6840.368199999999,1,1,1,111
Arturo Yang,190,1,28.99,3,4,4,344
Arturo Ye,71,2,30.479999999999997,1,3,4,134
Arturo Yuan,201,2,34.98,3,3,4,334
Arturo Zeng,267,3,36.269999999999996,4,3,4,434
Arturo Zhang,161,2,39.980000000000004,2,3,4,234
Arturo Zhao,234,3,31.269999999999996,3,3,4,334
Arturo Zheng,26,5,55.870000000000005,1,1,3,113
Arturo Zhou,349,2,574.98,4,3,2,432
Arturo Zhu,50,1,4.99,1,4,4,144
Ashlee Anand,326,2,119.97999999999999,4,3,3,433
Ashlee Andersen,318,7,116.92999999999999,4,1,3,413
Ashlee Beck,388,4,1336.96,4,2,2,422
Ashlee Chande,274,2,7.28,4,3,4,434
Ashlee Deng,220,9,7210.8499999999985,3,1,1,311
Ashlee Goel,195,3,83.97,3,3,3,333
Ashlee Jai,223,5,5968.23,3,1,1,311
Ashlee Kumar,211,3,42.28,3,3,4,334
Ashlee Lal,238,4,2425.9999999999995,3,2,2,322
Ashlee Luo,198,3,4179.33,3,3,1,331
Ashlee Moyer,362,1,742.35,4,4,2,442
Ashlee Nara,207,2,39.980000000000004,3,3,4,334
Ashlee Raje,45,2,5873.26,1,3,1,131
Ashlee Raji,86,4,1646.96,2,2,2,222
Ashlee Shan,252,2,68.49,3,3,3,333
Ashlee Sharma,110,2,4793.12,2,3,1,231
Ashlee She,221,3,556.9300000000001,3,3,2,332
Ashlee Shen,61,7,5806.352499999999,1,1,1,111
Ashlee Tang,32,4,118.96000000000001,1,2,3,123
Ashlee Xie,105,3,68.97,2,3,3,233
Ashlee Xu,212,9,6536.69,3,1,1,311
Ashley Alexander,151,2,4495.48,2,3,1,231
Ashley Anderson,33,3,3219.5782,1,3,1,131
Ashley Barnes,921,1,3578.27,4,4,1,441
Ashley Bennett,135,3,2418.0499999999997,2,3,2,232
Ashley Brown,43,3,91.58,1,3,3,133
Ashley Bryant,271,3,1714.97,4,3,2,432
Ashley Butler,224,3,35.23,3,3,4,334
Ashley Clark,133,6,6498.719999999999,2,1,1,211
Ashley Coleman,492,1,782.99,4,4,2,442
Ashley Davis,332,3,126.28,4,3,3,433
Ashley Diaz,140,4,77.96,2,2,3,223
Ashley Flores,59,2,1735.98,1,3,2,132
Ashley Foster,259,2,38.980000000000004,3,3,4,334
Ashley Garcia,42,3,1763.97,1,3,2,132
Ashley Gonzales,198,2,51.97,3,3,3,333
Ashley Griffin,187,2,2478.3399999999997,3,3,2,332
Ashley Hall,253,3,64.97,3,3,3,333
Ashley Harris,276,2,548.98,4,3,2,432
Ashley Hayes,47,3,1779.47,1,3,2,132
Ashley Henderson,2,68,1616.3100000000002,1,1,2,112
Ashley Hughes,305,2,2721.5525,4,3,1,431
Ashley Jackson,194,3,68.97,3,3,3,333
Ashley Jenkins,192,2,13.98,3,3,4,334
Ashley Johnson,184,4,3360.4174999999996,3,2,1,321
Ashley Jones,11,4,77.27000000000001,1,2,3,123
Ashley Lee,126,2,64.98,2,3,3,233
Ashley Lewis,246,4,51.27,3,2,3,323
Ashley Long,154,2,2393.06,2,3,2,232
Ashley Martin,155,3,5794.049999999999,2,3,1,231
Ashley Martinez,53,5,87.96000000000001,1,1,3,113
Ashley Miller,124,3,599.47,2,3,2,232
Ashley Moore,82,2,2341.97,1,3,2,132
Ashley Patterson,313,4,6035.599999999999,4,2,1,421
Ashley Perry,179,5,3101.949999999999,3,1,1,311
Ashley Powell,118,2,777.34,2,3,2,232
Ashley Price,109,3,64.97,2,3,3,233
Ashley Robinson,281,2,32.28,4,3,4,434
Ashley Rodriguez,305,4,2543.4399999999996,4,2,1,421
Ashley Ross,190,4,99.96000000000001,3,2,3,323
Ashley Russell,166,8,8182.999999999999,2,1,1,211
Ashley Simmons,331,5,173.95000000000002,4,1,3,413
Ashley Smith,937,1,3578.27,4,4,1,441
Ashley Taylor,89,3,150.97,2,3,3,233
Ashley Thomas,324,3,5933.25,4,3,1,431
Ashley Thompson,192,1,69.99,3,4,3,343
Ashley Walker,136,4,3127.2499999999995,2,2,1,221
Ashley Washington,239,4,1547.5682000000002,3,2,2,322
Ashley White,358,2,39.99,4,3,4,434
Ashley Williams,65,2,1155.48,1,3,2,132
Ashley Wilson,181,3,42.97,3,3,4,334
Ashley Wood,110,2,133.49,2,3,3,233
Audrey Alonso,210,3,36.269999999999996,3,3,4,334
Audrey Alvarez,91,2,799.48,2,3,2,232
Audrey Blanco,36,8,7384.098199999999,1,1,1,111
Audrey Carlson,142,3,60.47,2,3,3,233
Audrey Diaz,167,2,777.34,2,3,2,232
Audrey Dominguez,90,4,28.96,2,2,4,224
Audrey Gill,256,3,74.98,3,3,3,333
Audrey Gomez,76,2,751.34,1,3,2,132
Audrey Gutierrez,130,4,2983.3324999999995,2,2,1,221
Audrey Hernandez,94,3,84.96000000000001,2,3,3,233
Audrey Martin,140,6,107.85000000000001,2,1,3,213
Audrey Moreno,85,4,3287.3199999999997,2,2,1,221
Audrey Munoz,171,8,8256.5,3,1,1,311
Audrey Navarro,213,4,619.46,3,2,2,322
Audrey Ortega,55,3,3298.9381999999996,1,3,1,131
Audrey Ramos,156,6,8087.3099999999995,2,1,1,211
Audrey Romero,105,1,4.99,2,4,4,244
Audrey Rubio,178,4,3124.4499999999994,3,2,1,321
Audrey Ruiz,289,6,6847.7596,4,1,1,411
Audrey Sanz,230,4,1189.46,3,2,2,322
Audrey Serrano,56,2,6021.62,1,3,1,131
Audrey Suarez,312,1,21.49,4,4,4,444
Audrey Torres,45,4,52.92000000000001,1,2,3,123
Audrey Vazquez,164,2,39.980000000000004,2,3,4,234
Austin Alexander,347,5,1505.76,4,1,2,412
Austin Anderson,315,2,27.279999999999998,4,3,4,434
Austin Brown,23,3,69.97,1,3,3,133
Austin Bryant,358,6,5944.209999999999,4,1,1,411
Austin Butler,362,5,74.24000000000001,4,1,3,413
Austin Chen,225,3,2428.0499999999997,3,3,2,332
Austin Coleman,308,1,29.99,4,4,4,444
Austin Davis,209,4,4749.039999999999,3,2,1,321
Austin Diaz,50,5,86.74999999999999,1,1,3,113
Austin Flores,292,1,1700.99,4,4,2,442
Austin Foster,127,2,1468.5882000000001,2,3,2,232
Austin Garcia,230,2,2475.95,3,3,2,332
Austin Gonzales,253,2,2419.06,3,3,2,332
Austin Griffin,178,4,56.93000000000001,3,2,3,323
Austin Harris,189,2,7.28,3,3,4,334
Austin Hayes,120,3,3219.5782,2,3,1,231
Austin Henderson,108,2,54.980000000000004,2,3,3,233
Austin Hughes,40,2,1754.98,1,3,2,132
Austin Jai,336,4,119.96000000000001,4,2,3,423
Austin Jenkins,64,8,296.90999999999997,1,1,2,112
Austin Johnson,147,7,151.42999999999998,2,1,3,213
Austin Jones,370,4,556.26,4,2,2,422
Austin Kumar,35,4,4400.0581999999995,1,2,1,121
Austin Lal,270,4,617.47,4,2,2,422
Austin Lee,217,1,69.99,3,4,3,343
Austin Lewis,46,4,4500.822499999999,1,2,1,121
Austin Li,359,2,12.940000000000001,4,3,4,434
Austin Long,345,1,24.99,4,4,4,444
Austin Martin,186,2,36.59,3,3,4,334
Austin Martinez,148,2,14.98,2,3,4,234
Austin Moore,9,3,60.47,1,3,3,133
Austin Patterson,46,2,7.28,1,3,4,134
Austin Perry,243,1,1120.49,3,4,2,342
Austin Powell,107,1,4.99,2,4,4,244
Austin Robinson,84,3,2326.9599999999996,1,3,2,132
Austin Rodriguez,170,3,128.97,3,3,3,333
Austin Russell,140,2,34.98,2,3,4,234
Austin Shan,383,2,574.98,4,3,2,432
Austin Sharma,205,2,4320.62,3,3,1,331
Austin Simmons,294,2,123.97999999999999,4,3,3,433
Austin Smith,5,9,189.04,1,1,3,113
Austin Taylor,114,2,78.97999999999999,2,3,3,233
Austin Thompson,109,5,241.76000000000002,2,1,3,213
Austin Walker,162,3,69.97,2,3,3,233
Austin Wang,21,7,156.54999999999998,1,1,3,113
Austin Washington,76,5,2394.949999999999,1,1,2,112
Austin White,239,4,51.27,3,2,3,323
Austin Williams,246,3,32.22,3,3,4,334
Austin Yang,259,4,607.96,3,2,2,322
Austin Zhang,338,2,1155.48,4,3,2,432
Autumn Cai,310,2,123.97999999999999,4,3,3,433
Autumn Chen,148,2,4624.9125,2,3,1,231
Autumn Gao,325,2,39.980000000000004,4,3,4,434
Autumn Guo,78,4,86.26,1,2,3,123
Autumn He,154,2,561.48,2,3,2,232
Autumn Huang,34,2,34.98,1,3,4,134
Autumn Li,313,7,233.23000000000002,4,1,3,413
Autumn Liang,63,2,38.980000000000004,1,3,4,134
Autumn Lin,360,3,6056.61,4,3,1,431
Autumn Liu,298,2,4118.26,4,3,1,431
Autumn Lu,193,2,30.97,3,3,4,334
Autumn Ma,301,6,4191.719999999999,4,1,1,411
Autumn Sun,118,2,58.980000000000004,2,3,3,233
Autumn Wang,85,6,5647.2195999999985,2,1,1,211
Autumn Wu,195,1,3.99,3,4,4,344
Autumn Xu,316,1,21.98,4,4,4,444
Autumn Zeng,215,2,39.980000000000004,3,3,4,334
Autumn Zhang,91,4,215.95999999999998,2,2,3,223
Autumn Zhao,340,2,751.34,4,3,2,432
Autumn Zheng,110,4,3089.0781999999995,2,2,1,221
Autumn Zhou,196,3,2155.9174999999996,3,3,2,332
Autumn Zhu,138,4,157.96,2,2,3,223
Bailey Adams,270,4,4558.522499999999,4,2,1,421
Bailey Allen,290,2,6.28,4,3,4,434
Bailey Bailey,187,6,5962.5199999999995,3,1,1,311
Bailey Baker,190,2,23.779999999999998,3,3,4,334
Bailey Bell,297,4,4491.532499999999,4,2,1,421
Bailey Brooks,141,3,3105.2699999999995,2,3,1,231
Bailey Carter,353,5,2616.8581999999997,4,1,1,411
Bailey Collins,129,4,109.97,2,2,3,223
Bailey Cook,273,3,2418.0499999999997,4,3,2,432
Bailey Cooper,149,3,67.93,2,3,3,233
Bailey Cox,229,2,124.99,3,3,3,333
Bailey Evans,159,2,29.979999999999997,2,3,4,234
Bailey Gonzalez,143,3,1714.97,2,3,2,232
Bailey Gray,237,5,642.95,3,1,2,312
Bailey Green,63,3,1205.47,1,3,2,132
Bailey Hall,172,2,78.97999999999999,3,3,3,333
Bailey Hernandez,886,1,3578.27,4,4,1,441
Bailey Hill,224,4,2453.0399999999995,3,2,2,322
Bailey James,245,1,539.99,3,4,2,342
Bailey Kelly,40,3,563.77,1,3,2,132
Bailey King,267,3,1938.47,4,3,2,432
Bailey Lopez,351,3,1179.47,4,3,2,432
Bailey Mitchell,321,2,7.28,4,3,4,434
Bailey Morgan,290,3,38.88,4,3,4,434
Bailey Morris,195,2,24.27,3,3,4,334
Bailey Murphy,213,2,29.979999999999997,3,3,4,334
Bailey Parker,352,4,1169.46,4,2,2,422
Bailey Peterson,132,3,49.97,2,3,3,233
Bailey Phillips,275,3,72.28000000000002,4,3,3,433
Bailey Ramirez,86,4,99.96000000000001,2,2,3,223
Bailey Reed,183,3,22.93,3,3,4,334
Bailey Richardson,49,4,673.97,1,2,2,122
Bailey Rivera,33,2,2297.2799999999997,1,3,2,132
Bailey Roberts,217,3,17.27,3,3,4,334
Bailey Rogers,297,2,5898.26,4,3,1,431
Bailey Sanchez,83,3,148.47,1,3,3,133
Bailey Sanders,104,2,13.98,2,3,4,234
Bailey Scott,20,4,82.93,1,2,3,123
Bailey Stewart,200,5,3312.6974999999993,3,1,1,311
Bailey Torres,212,2,30.97,3,3,4,334
Bailey Turner,71,3,64.47,1,3,3,133
Bailey Ward,83,1,1120.49,1,4,2,142
Bailey Wright,54,3,2469.0499999999997,1,3,2,132
Bailey Young,268,3,38.88,4,3,4,434
Barbara Andersen,106,6,6083.169999999999,2,1,1,211
Barbara Ashe,66,2,24.27,1,3,4,134
Barbara Beck,56,4,1407.96,1,2,2,122
Barbara Cai,308,2,34.98,4,3,4,434
Barbara Chande,546,1,2071.4196,4,4,2,442
Barbara Chen,279,3,68.97,4,3,3,433
Barbara Deng,189,4,6078.71,3,2,1,321
Barbara Gao,137,2,574.98,2,3,2,232
Barbara Goel,99,7,6915.4382000000005,2,1,1,211
Barbara He,66,1,49.99,1,4,3,143
Barbara Hu,250,3,104.96,3,3,3,333
Barbara Huang,89,5,1919.75,2,1,2,212
Barbara Jai,134,6,151.75,2,1,3,213
Barbara Kumar,232,3,1331.97,3,3,2,332
